time,USD_JPY_close,USD_JPY_volume
2019-01-18T07:20:00.000000000Z,109.408,32
2019-01-18T07:25:00.000000000Z,109.426,63
2019-01-18T07:30:00.000000000Z,109.420,88
2019-01-18T07:35:00.000000000Z,109.396,89
2019-01-18T07:40:00.000000000Z,109.412,55
2019-01-18T07:45:00.000000000Z,109.384,35
2019-01-18T07:50:00.000000000Z,109.386,43
2019-01-18T07:55:00.000000000Z,109.365,58
2019-01-18T08:00:00.000000000Z,109.405,96
2019-01-18T08:05:00.000000000Z,109.420,94
2019-01-18T08:10:00.000000000Z,109.396,82
2019-01-18T08:15:00.000000000Z,109.414,73
2019-01-18T08:20:00.000000000Z,109.417,34
2019-01-18T08:25:00.000000000Z,109.440,55
2019-01-18T08:30:00.000000000Z,109.455,64
2019-01-18T08:35:00.000000000Z,109.482,73
2019-01-18T08:40:00.000000000Z,109.480,51
2019-01-18T08:45:00.000000000Z,109.474,27
2019-01-18T08:50:00.000000000Z,109.468,46
2019-01-18T08:55:00.000000000Z,109.484,71
2019-01-18T09:00:00.000000000Z,109.492,47
2019-01-18T09:05:00.000000000Z,109.534,124
2019-01-18T09:10:00.000000000Z,109.529,60
2019-01-18T09:15:00.000000000Z,109.537,47
2019-01-18T09:20:00.000000000Z,109.564,98
2019-01-18T09:25:00.000000000Z,109.570,44
2019-01-18T09:30:00.000000000Z,109.571,76
2019-01-18T09:35:00.000000000Z,109.564,66
2019-01-18T09:40:00.000000000Z,109.570,49
2019-01-18T09:45:00.000000000Z,109.577,39
2019-01-18T09:50:00.000000000Z,109.574,27
2019-01-18T09:55:00.000000000Z,109.568,32
2019-01-18T10:00:00.000000000Z,109.556,107
2019-01-18T10:05:00.000000000Z,109.514,58
2019-01-18T10:10:00.000000000Z,109.497,81
2019-01-18T10:15:00.000000000Z,109.446,68
2019-01-18T10:20:00.000000000Z,109.456,72
2019-01-18T10:25:00.000000000Z,109.460,83
2019-01-18T10:30:00.000000000Z,109.438,61
2019-01-18T10:35:00.000000000Z,109.424,55
2019-01-18T10:40:00.000000000Z,109.419,64
2019-01-18T10:45:00.000000000Z,109.433,32
2019-01-18T10:50:00.000000000Z,109.398,44
2019-01-18T10:55:00.000000000Z,109.394,51
2019-01-18T11:00:00.000000000Z,109.436,58
2019-01-18T11:05:00.000000000Z,109.432,43
2019-01-18T11:10:00.000000000Z,109.420,33
