time,EUR_USD_close,EUR_USD_volume
2018-04-17T15:01:00.000000000Z,1.23448,82
2018-04-17T15:02:00.000000000Z,1.23474,82
2018-04-17T15:03:00.000000000Z,1.23452,54
2018-04-17T15:04:00.000000000Z,1.23451,48
2018-04-17T15:05:00.000000000Z,1.23479,36
2018-04-17T15:06:00.000000000Z,1.23445,54
2018-04-17T15:07:00.000000000Z,1.23452,66
2018-04-17T15:08:00.000000000Z,1.23446,71
2018-04-17T15:09:00.000000000Z,1.23445,76
2018-04-17T15:10:00.000000000Z,1.23475,48
2018-04-17T15:11:00.000000000Z,1.23467,50
2018-04-17T15:12:00.000000000Z,1.23452,31
2018-04-17T15:13:00.000000000Z,1.23452,49
2018-04-17T15:14:00.000000000Z,1.23452,13
2018-04-17T15:15:00.000000000Z,1.23460,44
2018-04-17T15:16:00.000000000Z,1.23466,38
2018-04-17T15:17:00.000000000Z,1.23462,34
2018-04-17T15:18:00.000000000Z,1.23475,68
2018-04-17T15:19:00.000000000Z,1.23482,39
2018-04-17T15:20:00.000000000Z,1.23476,19
2018-04-17T15:21:00.000000000Z,1.23466,13
2018-04-17T15:22:00.000000000Z,1.23486,29
2018-04-17T15:23:00.000000000Z,1.23480,28
2018-04-17T15:24:00.000000000Z,1.23480,39
2018-04-17T15:25:00.000000000Z,1.23472,39
2018-04-17T15:26:00.000000000Z,1.23465,36
2018-04-17T15:27:00.000000000Z,1.23453,61
2018-04-17T15:28:00.000000000Z,1.23454,47
2018-04-17T15:29:00.000000000Z,1.23440,37
2018-04-17T15:30:00.000000000Z,1.23430,44
2018-04-17T15:31:00.000000000Z,1.23444,10
2018-04-17T15:32:00.000000000Z,1.23456,32
2018-04-17T15:33:00.000000000Z,1.23478,29
2018-04-17T15:34:00.000000000Z,1.23484,35
2018-04-17T15:35:00.000000000Z,1.23466,11
2018-04-17T15:36:00.000000000Z,1.23454,33
2018-04-17T15:37:00.000000000Z,1.23437,47
2018-04-17T15:38:00.000000000Z,1.23426,18
2018-04-17T15:39:00.000000000Z,1.23423,26
2018-04-17T15:40:00.000000000Z,1.23450,31
2018-04-17T15:41:00.000000000Z,1.23448,16
2018-04-17T15:42:00.000000000Z,1.23448,21
2018-04-17T15:43:00.000000000Z,1.23448,31
2018-04-17T15:44:00.000000000Z,1.23444,36
2018-04-17T15:45:00.000000000Z,1.23448,27
2018-04-17T15:46:00.000000000Z,1.23436,25
2018-04-17T15:47:00.000000000Z,1.23434,16
2018-04-17T15:48:00.000000000Z,1.23394,44
2018-04-17T15:49:00.000000000Z,1.23414,68
2018-04-17T15:50:00.000000000Z,1.23420,40
2018-04-17T15:51:00.000000000Z,1.23410,25
2018-04-17T15:52:00.000000000Z,1.23406,28
2018-04-17T15:53:00.000000000Z,1.23369,108
2018-04-17T15:54:00.000000000Z,1.23393,89
2018-04-17T15:55:00.000000000Z,1.23411,41
2018-04-17T15:56:00.000000000Z,1.23409,46
2018-04-17T15:57:00.000000000Z,1.23427,52
2018-04-17T15:58:00.000000000Z,1.23434,21
2018-04-17T15:59:00.000000000Z,1.23450,53
2018-04-17T16:00:00.000000000Z,1.23410,40
2018-04-17T16:01:00.000000000Z,1.23405,53
2018-04-17T16:02:00.000000000Z,1.23416,30
2018-04-17T16:03:00.000000000Z,1.23382,60
2018-04-17T16:04:00.000000000Z,1.23414,34
2018-04-17T16:05:00.000000000Z,1.23398,42
2018-04-17T16:06:00.000000000Z,1.23406,23
2018-04-17T16:07:00.000000000Z,1.23403,46
2018-04-17T16:08:00.000000000Z,1.23421,57
2018-04-17T16:09:00.000000000Z,1.23408,34
2018-04-17T16:10:00.000000000Z,1.23421,30
2018-04-17T16:11:00.000000000Z,1.23431,29
2018-04-17T16:12:00.000000000Z,1.23423,31
2018-04-17T16:13:00.000000000Z,1.23426,37
2018-04-17T16:14:00.000000000Z,1.23442,18
2018-04-17T16:15:00.000000000Z,1.23424,28
2018-04-17T16:16:00.000000000Z,1.23420,35
2018-04-17T16:17:00.000000000Z,1.23421,5
2018-04-17T16:18:00.000000000Z,1.23440,17
2018-04-17T16:19:00.000000000Z,1.23446,25
2018-04-17T16:20:00.000000000Z,1.23424,17
2018-04-17T16:21:00.000000000Z,1.23430,14
2018-04-17T16:22:00.000000000Z,1.23436,20
2018-04-17T16:23:00.000000000Z,1.23454,54
2018-04-17T16:24:00.000000000Z,1.23462,39
2018-04-17T16:25:00.000000000Z,1.23462,29
2018-04-17T16:26:00.000000000Z,1.23465,19
2018-04-17T16:27:00.000000000Z,1.23470,16
2018-04-17T16:28:00.000000000Z,1.23474,16
2018-04-17T16:29:00.000000000Z,1.23465,30
2018-04-17T16:30:00.000000000Z,1.23466,44
2018-04-17T16:31:00.000000000Z,1.23472,24
2018-04-17T16:32:00.000000000Z,1.23470,26
2018-04-17T16:33:00.000000000Z,1.23472,37
2018-04-17T16:34:00.000000000Z,1.23472,19
2018-04-17T16:35:00.000000000Z,1.23466,74
2018-04-17T16:36:00.000000000Z,1.23462,24
2018-04-17T16:37:00.000000000Z,1.23455,19
2018-04-17T16:38:00.000000000Z,1.23464,38
2018-04-17T16:39:00.000000000Z,1.23466,17
2018-04-17T16:40:00.000000000Z,1.23462,49
2018-04-17T16:41:00.000000000Z,1.23451,56
2018-04-17T16:42:00.000000000Z,1.23450,51
2018-04-17T16:43:00.000000000Z,1.23453,21
2018-04-17T16:44:00.000000000Z,1.23471,27
2018-04-17T16:45:00.000000000Z,1.23468,33
2018-04-17T16:46:00.000000000Z,1.23477,14
2018-04-17T16:47:00.000000000Z,1.23486,38
2018-04-17T16:48:00.000000000Z,1.23495,36
2018-04-17T16:49:00.000000000Z,1.23493,10
2018-04-17T16:50:00.000000000Z,1.23499,48
2018-04-17T16:51:00.000000000Z,1.23492,25
2018-04-17T16:52:00.000000000Z,1.23490,10
2018-04-17T16:53:00.000000000Z,1.23498,15
2018-04-17T16:54:00.000000000Z,1.23516,37
2018-04-17T16:55:00.000000000Z,1.23544,48
2018-04-17T16:56:00.000000000Z,1.23557,48
2018-04-17T16:57:00.000000000Z,1.23562,36
2018-04-17T16:58:00.000000000Z,1.23564,78
2018-04-17T16:59:00.000000000Z,1.23550,110
2018-04-17T17:00:00.000000000Z,1.23561,79
2018-04-17T17:01:00.000000000Z,1.23555,86
2018-04-17T17:02:00.000000000Z,1.23549,36
2018-04-17T17:03:00.000000000Z,1.23556,26
2018-04-17T17:04:00.000000000Z,1.23561,16
2018-04-17T17:05:00.000000000Z,1.23576,30
2018-04-17T17:06:00.000000000Z,1.23574,10
2018-04-17T17:07:00.000000000Z,1.23576,5
2018-04-17T17:08:00.000000000Z,1.23574,15
2018-04-17T17:09:00.000000000Z,1.23576,28
2018-04-17T17:10:00.000000000Z,1.23598,68
2018-04-17T17:11:00.000000000Z,1.23600,44
2018-04-17T17:12:00.000000000Z,1.23588,25
2018-04-17T17:13:00.000000000Z,1.23600,17
2018-04-17T17:14:00.000000000Z,1.23602,5
2018-04-17T17:15:00.000000000Z,1.23612,45
2018-04-17T17:16:00.000000000Z,1.23638,65
2018-04-17T17:17:00.000000000Z,1.23675,127
2018-04-17T17:18:00.000000000Z,1.23654,71
2018-04-17T17:19:00.000000000Z,1.23662,54
2018-04-17T17:20:00.000000000Z,1.23646,42
2018-04-17T17:21:00.000000000Z,1.23632,44
2018-04-17T17:22:00.000000000Z,1.23628,32
2018-04-17T17:23:00.000000000Z,1.23635,25
2018-04-17T17:24:00.000000000Z,1.23631,43
2018-04-17T17:25:00.000000000Z,1.23634,23
2018-04-17T17:26:00.000000000Z,1.23637,41
2018-04-17T17:27:00.000000000Z,1.23630,24
2018-04-17T17:28:00.000000000Z,1.23629,51
2018-04-17T17:29:00.000000000Z,1.23635,15
2018-04-17T17:30:00.000000000Z,1.23638,3
2018-04-17T17:31:00.000000000Z,1.23636,10
2018-04-17T17:32:00.000000000Z,1.23624,27
2018-04-17T17:33:00.000000000Z,1.23620,21
2018-04-17T17:34:00.000000000Z,1.23623,3
2018-04-17T17:35:00.000000000Z,1.23632,12
2018-04-17T17:36:00.000000000Z,1.23618,25
2018-04-17T17:37:00.000000000Z,1.23632,56
2018-04-17T17:38:00.000000000Z,1.23633,24
2018-04-17T17:39:00.000000000Z,1.23642,43
2018-04-17T17:40:00.000000000Z,1.23651,21
2018-04-17T17:41:00.000000000Z,1.23632,16
2018-04-17T17:42:00.000000000Z,1.23631,20
2018-04-17T17:43:00.000000000Z,1.23634,19
2018-04-17T17:44:00.000000000Z,1.23619,13
2018-04-17T17:45:00.000000000Z,1.23621,8
2018-04-17T17:46:00.000000000Z,1.23618,9
2018-04-17T17:47:00.000000000Z,1.23622,18
2018-04-17T17:48:00.000000000Z,1.23618,12
2018-04-17T17:49:00.000000000Z,1.23612,27
2018-04-17T17:50:00.000000000Z,1.23622,11
2018-04-17T17:51:00.000000000Z,1.23612,24
2018-04-17T17:52:00.000000000Z,1.23613,12
2018-04-17T17:53:00.000000000Z,1.23608,16
2018-04-17T17:54:00.000000000Z,1.23600,19
2018-04-17T17:55:00.000000000Z,1.23606,9
2018-04-17T17:56:00.000000000Z,1.23607,15
2018-04-17T17:57:00.000000000Z,1.23610,15
2018-04-17T17:58:00.000000000Z,1.23600,29
2018-04-17T17:59:00.000000000Z,1.23634,43
2018-04-17T18:00:00.000000000Z,1.23624,37
2018-04-17T18:01:00.000000000Z,1.23632,13
2018-04-17T18:02:00.000000000Z,1.23636,54
2018-04-17T18:03:00.000000000Z,1.23639,13
2018-04-17T18:04:00.000000000Z,1.23646,27
2018-04-17T18:05:00.000000000Z,1.23646,35
2018-04-17T18:06:00.000000000Z,1.23645,14
2018-04-17T18:07:00.000000000Z,1.23645,8
2018-04-17T18:08:00.000000000Z,1.23648,6
2018-04-17T18:09:00.000000000Z,1.23644,4
2018-04-17T18:10:00.000000000Z,1.23646,13
2018-04-17T18:12:00.000000000Z,1.23656,7
2018-04-17T18:13:00.000000000Z,1.23674,20
2018-04-17T18:14:00.000000000Z,1.23682,63
2018-04-17T18:15:00.000000000Z,1.23688,19
2018-04-17T18:16:00.000000000Z,1.23688,12
2018-04-17T18:17:00.000000000Z,1.23689,6
2018-04-17T18:18:00.000000000Z,1.23696,17
2018-04-17T18:19:00.000000000Z,1.23690,6
2018-04-17T18:20:00.000000000Z,1.23696,6
2018-04-17T18:21:00.000000000Z,1.23698,13
2018-04-17T18:22:00.000000000Z,1.23722,24
