time,EUR_USD_close,EUR_USD_volume,GBP_USD_close,GBP_USD_volume,USD_JPY_close,USD_JPY_volume,EUR_GBP_close,EUR_GBP_volume,EUR_JPY_close,EUR_JPY_volume,GBP_JPY_close,GBP_JPY_volume
2018-04-16T02:56:00.000000000Z,1.23412,13.0,1.42602,13.0,107.196,22.0,0.86538,1.0,132.290,18.0,152.868,26.0
2018-04-16T02:57:00.000000000Z,1.23412,10.0,1.42614,13.0,107.208,14.0,0.86535,3.0,132.310,8.0,152.896,20.0
2018-04-16T02:58:00.000000000Z,1.23406,5.0,1.42620,24.0,107.212,25.0,0.86527,4.0,132.308,17.0,152.910,36.0
2018-04-16T02:59:00.000000000Z,1.23402,13.0,1.42612,24.0,107.200,31.0,0.86527,4.0,132.288,25.0,152.885,41.0
2018-04-16T03:00:00.000000000Z,1.23402,3.0,1.42612,24.0,107.208,65.0,0.86527,4.0,132.294,40.0,152.897,69.0
2018-04-16T03:01:00.000000000Z,1.23396,28.0,1.42606,2.0,107.225,13.0,0.86530,3.0,132.312,7.0,152.906,24.0
2018-04-16T03:02:00.000000000Z,1.23403,9.0,1.42600,2.0,107.219,12.0,0.86532,1.0,132.307,14.0,152.900,23.0
2018-04-16T03:03:00.000000000Z,1.23408,13.0,1.42630,36.0,107.212,17.0,0.86524,8.0,132.306,10.0,152.914,31.0
2018-04-16T03:04:00.000000000Z,1.23402,7.0,1.42622,2.0,107.216,10.0,0.86524,8.0,132.308,7.0,152.918,13.0
2018-04-16T03:05:00.000000000Z,1.23398,11.0,1.42616,4.0,107.209,11.0,0.86528,2.0,132.298,9.0,152.896,21.0
2018-04-16T03:06:00.000000000Z,1.23394,11.0,1.42608,12.0,107.216,9.0,0.86526,1.0,132.300,6.0,152.904,9.0
2018-04-16T03:07:00.000000000Z,1.23392,8.0,1.42622,30.0,107.207,12.0,0.86517,4.0,132.287,10.0,152.904,24.0
2018-04-16T03:08:00.000000000Z,1.23390,24.0,1.42622,7.0,107.192,22.0,0.86517,2.0,132.270,15.0,152.883,32.0
2018-04-16T03:09:00.000000000Z,1.23390,24.0,1.42622,1.0,107.190,13.0,0.86514,1.0,132.260,5.0,152.880,13.0
2018-04-16T03:10:00.000000000Z,1.23385,1.0,1.42612,84.0,107.195,14.0,0.86516,3.0,132.262,11.0,152.880,20.0
2018-04-16T03:11:00.000000000Z,1.23390,13.0,1.42622,45.0,107.197,7.0,0.86514,1.0,132.272,9.0,152.891,15.0
2018-04-16T03:12:00.000000000Z,1.23390,13.0,1.42622,2.0,107.200,13.0,0.86514,1.0,132.273,8.0,152.898,16.0
2018-04-16T03:13:00.000000000Z,1.23390,13.0,1.42622,7.0,107.179,15.0,0.86514,1.0,132.248,11.0,152.866,21.0
2018-04-16T03:14:00.000000000Z,1.23401,5.0,1.42633,43.0,107.182,3.0,0.86516,3.0,132.266,5.0,152.884,12.0
2018-04-16T03:15:00.000000000Z,1.23401,5.0,1.42633,14.0,107.188,13.0,0.86514,1.0,132.273,8.0,152.890,17.0
2018-04-16T03:16:00.000000000Z,1.23390,5.0,1.42616,8.0,107.194,16.0,0.86518,4.0,132.269,13.0,152.880,26.0
2018-04-16T03:17:00.000000000Z,1.23386,8.0,1.42616,8.0,107.188,11.0,0.86516,1.0,132.253,11.0,152.868,15.0
2018-04-16T03:18:00.000000000Z,1.23384,1.0,1.42616,1.0,107.194,7.0,0.86513,1.0,132.259,6.0,152.879,11.0
2018-04-16T03:19:00.000000000Z,1.23388,7.0,1.42624,11.0,107.200,8.0,0.86508,2.0,132.272,6.0,152.898,14.0
2018-04-16T03:20:00.000000000Z,1.23391,6.0,1.42631,24.0,107.200,2.0,0.86508,4.0,132.276,1.0,152.906,12.0
2018-04-16T03:21:00.000000000Z,1.23385,2.0,1.42625,15.0,107.221,9.0,0.86510,1.0,132.294,7.0,152.928,13.0
2018-04-16T03:22:00.000000000Z,1.23388,31.0,1.42644,52.0,107.219,15.0,0.86502,9.0,132.300,13.0,152.943,32.0
2018-04-16T03:23:00.000000000Z,1.23385,5.0,1.42634,13.0,107.231,7.0,0.86502,2.0,132.306,4.0,152.951,12.0
2018-04-16T03:24:00.000000000Z,1.23390,4.0,1.42644,39.0,107.231,4.0,0.86500,3.0,132.314,4.0,152.963,13.0
2018-04-16T03:25:00.000000000Z,1.23402,18.0,1.42669,22.0,107.225,9.0,0.86496,4.0,132.318,9.0,152.972,16.0
2018-04-16T03:26:00.000000000Z,1.23393,30.0,1.42662,19.0,107.215,10.0,0.86496,8.0,132.296,8.0,152.950,25.0
2018-04-16T03:27:00.000000000Z,1.23400,9.0,1.42661,16.0,107.218,7.0,0.86499,1.0,132.303,8.0,152.952,9.0
2018-04-16T03:28:00.000000000Z,1.23402,10.0,1.42660,14.0,107.220,5.0,0.86501,1.0,132.311,6.0,152.956,8.0
2018-04-16T03:29:00.000000000Z,1.23392,13.0,1.42659,11.0,107.223,1.0,0.86496,2.0,132.304,2.0,152.956,4.0
2018-04-16T03:30:00.000000000Z,1.23392,13.0,1.42648,9.0,107.220,9.0,0.86500,2.0,132.304,4.0,152.946,17.0
2018-04-16T03:31:00.000000000Z,1.23392,13.0,1.42648,5.0,107.218,5.0,0.86502,1.0,132.301,1.0,152.938,5.0
2018-04-16T03:32:00.000000000Z,1.23394,1.0,1.42649,8.0,107.222,6.0,0.86503,2.0,132.305,5.0,152.947,10.0
2018-04-16T03:33:00.000000000Z,1.23390,1.0,1.42641,32.0,107.225,9.0,0.86503,2.0,132.306,4.0,152.942,14.0
2018-04-16T03:34:00.000000000Z,1.23384,12.0,1.42640,6.0,107.230,2.0,0.86503,2.0,132.306,2.0,152.949,3.0
2018-04-16T03:35:00.000000000Z,1.23387,2.0,1.42642,9.0,107.230,8.0,0.86503,2.0,132.308,3.0,152.951,7.0
2018-04-16T03:36:00.000000000Z,1.23387,2.0,1.42642,2.0,107.235,2.0,0.86503,2.0,132.312,1.0,152.958,3.0
2018-04-16T03:37:00.000000000Z,1.23386,19.0,1.42644,8.0,107.232,9.0,0.86498,2.0,132.312,4.0,152.960,14.0
2018-04-16T03:38:00.000000000Z,1.23386,5.0,1.42642,9.0,107.222,6.0,0.86501,1.0,132.299,6.0,152.940,18.0
2018-04-16T03:39:00.000000000Z,1.23393,7.0,1.42642,3.0,107.242,12.0,0.86502,2.0,132.328,12.0,152.975,19.0
2018-04-16T03:40:00.000000000Z,1.23393,7.0,1.42642,34.0,107.244,21.0,0.86506,2.0,132.332,17.0,152.974,31.0
2018-04-16T03:41:00.000000000Z,1.23395,4.0,1.42642,31.0,107.246,9.0,0.86506,2.0,132.332,8.0,152.974,18.0
2018-04-16T03:42:00.000000000Z,1.23396,8.0,1.42646,29.0,107.246,8.0,0.86504,1.0,132.336,5.0,152.983,16.0
2018-04-16T03:43:00.000000000Z,1.23392,5.0,1.42646,29.0,107.248,1.0,0.86504,1.0,132.336,5.0,152.983,2.0
2018-04-16T03:44:00.000000000Z,1.23382,5.0,1.42641,18.0,107.251,5.0,0.86504,2.0,132.333,7.0,152.980,13.0
2018-04-16T03:45:00.000000000Z,1.23385,18.0,1.42640,14.0,107.244,3.0,0.86504,2.0,132.326,2.0,152.970,7.0
2018-04-16T03:46:00.000000000Z,1.23378,9.0,1.42639,19.0,107.251,7.0,0.86502,1.0,132.326,4.0,152.978,12.0
2018-04-16T03:47:00.000000000Z,1.23378,8.0,1.42638,5.0,107.246,4.0,0.86502,1.0,132.319,4.0,152.971,7.0
2018-04-16T03:48:00.000000000Z,1.23378,18.0,1.42638,6.0,107.246,2.0,0.86502,1.0,132.322,1.0,152.971,6.0
2018-04-16T03:49:00.000000000Z,1.23378,25.0,1.42638,8.0,107.275,26.0,0.86502,1.0,132.354,13.0,153.011,33.0
2018-04-16T03:50:00.000000000Z,1.23380,7.0,1.42638,3.0,107.268,13.0,0.86502,1.0,132.347,8.0,153.000,17.0
2018-04-16T03:51:00.000000000Z,1.23382,3.0,1.42638,2.0,107.264,10.0,0.86502,1.0,132.343,7.0,152.996,14.0
2018-04-16T03:52:00.000000000Z,1.23382,4.0,1.42638,2.0,107.258,4.0,0.86500,1.0,132.336,4.0,152.992,8.0
2018-04-16T03:53:00.000000000Z,1.23380,7.0,1.42638,2.0,107.264,12.0,0.86500,1.0,132.342,10.0,152.997,20.0
2018-04-16T03:54:00.000000000Z,1.23380,7.0,1.42638,2.0,107.253,4.0,0.86500,1.0,132.330,5.0,152.984,12.0
2018-04-16T03:55:00.000000000Z,1.23380,2.0,1.42639,8.0,107.242,20.0,0.86502,1.0,132.316,8.0,152.966,27.0
2018-04-16T03:56:00.000000000Z,1.23380,2.0,1.42638,1.0,107.246,5.0,0.86502,1.0,132.324,2.0,152.971,6.0
2018-04-16T03:57:00.000000000Z,1.23380,2.0,1.42638,11.0,107.250,4.0,0.86502,1.0,132.328,3.0,152.978,10.0
2018-04-16T03:58:00.000000000Z,1.23382,15.0,1.42633,24.0,107.250,8.0,0.86506,2.0,132.328,4.0,152.969,14.0
2018-04-16T03:59:00.000000000Z,1.23382,3.0,1.42636,31.0,107.250,14.0,0.86504,1.0,132.328,4.0,152.974,14.0
2018-04-16T04:00:00.000000000Z,1.23380,4.0,1.42628,15.0,107.240,6.0,0.86506,1.0,132.312,5.0,152.950,12.0
2018-04-16T04:01:00.000000000Z,1.23380,4.0,1.42628,5.0,107.240,2.0,0.86506,1.0,132.314,1.0,152.948,3.0
2018-04-16T04:02:00.000000000Z,1.23380,4.0,1.42626,2.0,107.240,2.0,0.86506,1.0,132.314,1.0,152.946,1.0
2018-04-16T04:03:00.000000000Z,1.23375,3.0,1.42614,12.0,107.240,2.0,0.86512,5.0,132.308,2.0,152.936,8.0
2018-04-16T04:04:00.000000000Z,1.23375,2.0,1.42614,12.0,107.234,3.0,0.86512,5.0,132.304,1.0,152.928,3.0
2018-04-16T04:05:00.000000000Z,1.23375,2.0,1.42614,8.0,107.242,6.0,0.86512,5.0,132.311,6.0,152.942,21.0
2018-04-16T04:06:00.000000000Z,1.23375,2.0,1.42614,8.0,107.245,3.0,0.86512,5.0,132.314,1.0,152.948,5.0
2018-04-16T04:07:00.000000000Z,1.23364,4.0,1.42603,23.0,107.250,2.0,0.86511,4.0,132.308,4.0,152.939,7.0
2018-04-16T04:08:00.000000000Z,1.23362,1.0,1.42598,10.0,107.242,11.0,0.86511,4.0,132.294,8.0,152.919,17.0
2018-04-16T04:09:00.000000000Z,1.23357,1.0,1.42587,15.0,107.250,15.0,0.86516,2.0,132.300,14.0,152.920,27.0
2018-04-16T04:10:00.000000000Z,1.23366,46.0,1.42593,21.0,107.238,27.0,0.86516,4.0,132.295,21.0,152.914,35.0
2018-04-16T04:11:00.000000000Z,1.23366,46.0,1.42593,21.0,107.226,5.0,0.86516,4.0,132.282,4.0,152.898,7.0
2018-04-16T04:12:00.000000000Z,1.23366,46.0,1.42593,21.0,107.221,12.0,0.86516,4.0,132.272,5.0,152.888,10.0
2018-04-16T04:13:00.000000000Z,1.23360,2.0,1.42591,16.0,107.222,4.0,0.86514,3.0,132.268,1.0,152.884,7.0
2018-04-16T04:14:00.000000000Z,1.23346,8.0,1.42586,24.0,107.226,4.0,0.86512,5.0,132.265,3.0,152.886,11.0
2018-04-16T04:15:00.000000000Z,1.23356,3.0,1.42586,4.0,107.228,7.0,0.86514,1.0,132.269,3.0,152.886,4.0
2018-04-16T04:16:00.000000000Z,1.23356,9.0,1.42586,23.0,107.238,10.0,0.86514,1.0,132.282,5.0,152.901,10.0
2018-04-16T04:17:00.000000000Z,1.23351,17.0,1.42586,5.0,107.231,9.0,0.86510,2.0,132.266,6.0,152.892,10.0
2018-04-16T04:18:00.000000000Z,1.23356,2.0,1.42588,11.0,107.224,11.0,0.86514,2.0,132.263,5.0,152.882,16.0
2018-04-16T04:19:00.000000000Z,1.23356,2.0,1.42587,3.0,107.219,4.0,0.86514,2.0,132.260,3.0,152.876,8.0
2018-04-16T04:20:00.000000000Z,1.23354,5.0,1.42588,3.0,107.228,6.0,0.86512,1.0,132.266,4.0,152.888,5.0
2018-04-16T04:21:00.000000000Z,1.23344,11.0,1.42587,11.0,107.228,6.0,0.86507,2.0,132.260,4.0,152.887,10.0
