time,EUR_USD_close,EUR_USD_volume,GBP_USD_close,GBP_USD_volume,EUR_GBP_close,EUR_GBP_volume
2018-04-16T14:46:00.000000000Z,1.23768,56.0,1.43136,106.0,0.86468,37.0
2018-04-16T14:47:00.000000000Z,1.23753,62.0,1.43138,53.0,0.86456,13.0
2018-04-16T14:48:00.000000000Z,1.23769,33.0,1.43160,29.0,0.86453,7.0
2018-04-16T14:49:00.000000000Z,1.23780,65.0,1.43216,120.0,0.86434,32.0
2018-04-16T14:50:00.000000000Z,1.23790,76.0,1.43246,71.0,0.86419,26.0
2018-04-16T14:51:00.000000000Z,1.23776,70.0,1.43228,54.0,0.86422,18.0
2018-04-16T14:52:00.000000000Z,1.23764,40.0,1.43228,57.0,0.86412,24.0
2018-04-16T14:53:00.000000000Z,1.23754,33.0,1.43221,33.0,0.86413,6.0
2018-04-16T14:54:00.000000000Z,1.23756,46.0,1.43228,52.0,0.86404,14.0
2018-04-16T14:55:00.000000000Z,1.23760,50.0,1.43233,51.0,0.86404,14.0
2018-04-16T14:56:00.000000000Z,1.23756,23.0,1.43237,30.0,0.86397,13.0
2018-04-16T14:57:00.000000000Z,1.23702,128.0,1.43283,170.0,0.86334,58.0
2018-04-16T14:58:00.000000000Z,1.23704,177.0,1.43338,341.0,0.86302,69.0
2018-04-16T14:59:00.000000000Z,1.23674,156.0,1.43288,171.0,0.86310,38.0
2018-04-16T15:00:00.000000000Z,1.23638,210.0,1.43292,268.0,0.86283,58.0
2018-04-16T15:01:00.000000000Z,1.23656,120.0,1.43322,218.0,0.86278,42.0
2018-04-16T15:02:00.000000000Z,1.23663,88.0,1.43299,146.0,0.86300,55.0
2018-04-16T15:03:00.000000000Z,1.23665,95.0,1.43279,125.0,0.86312,28.0
2018-04-16T15:04:00.000000000Z,1.23664,64.0,1.43268,50.0,0.86317,10.0
2018-04-16T15:05:00.000000000Z,1.23678,32.0,1.43278,62.0,0.86322,20.0
